13 : 茉伶 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉兵 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉兵 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉初 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉秀 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉秀 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉志 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉冴 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉克 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉宏 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉完 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉完 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉快 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉我 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉我 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 洸朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和伶 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和兵 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和兵 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和初 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和秀 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和秀 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和志 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和冴 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和克 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和宏 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和完 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和完 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和快 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和我 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和我 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 玲朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 怜里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 怜希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 怜花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 亮朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 了夫 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 了夫 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 了太 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 了太 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 律朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 要朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 要朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 要朱 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
