13 : 茉良 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉李 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉佑 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉那 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉妥 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉寿 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉志 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉沙 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉佐 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉孝 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉亨 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 茉花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 侑里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 侑希 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 侑花 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和良 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和里 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和李 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和佑 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和那 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和妥 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和伸 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和寿 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和志 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
13 : 和沙 : ['凶', '吉', '大吉', '大吉', '大吉', '大吉']
